日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
6月8日,160.45,251.984,1.2,"1,507,556","4,610,556","-3,103,000","2,078,280","6,688,836"
6月9日,160.09,249.035,4.5,"1,454,248","4,054,248","-2,600,000","1,945,080","5,999,328"
6月10日,159.97,248.023,0,"1,031,660","1,842,660","-811,000","1,780,560","3,623,220"
6月11日,159.86,247.205,3.6,"930,952","1,577,952","-647,000","1,789,560","3,367,512"
6月12日,159.78,246.524,0.1,"850,312","1,578,312","-728,000","1,717,920","3,296,232"
6月13日,159.68,245.746,0.2,"771,752","1,579,752","-808,000","1,581,120","3,160,872"
6月14日,159.59,244.962,7.9,"935,112","1,580,112","-645,000","1,568,160","3,148,272"
6月15日,159.5,244.256,0.6,"695,624","1,581,624","-886,000","1,611,720","3,193,344"
6月16日,159.38,243.326,0.1,"695,104","1,741,104","-1,046,000","1,452,240","3,193,344"
6月17日,159.25,242.223,0.1,"542,520","1,586,520","-1,044,000","1,369,800","2,956,320"
6月18日,159.12,241.207,0,"626,384","1,587,384","-961,000","1,308,600","2,895,984"
6月19日,158.97,240.012,0,"469,764","1,747,764","-1,278,000","1,241,640","2,989,404"
6月20日,158.83,238.857,0,"512,620","2,026,620","-1,514,000","1,195,200","3,221,820"
6月21日,158.63,237.275,0,"555,612","1,746,612","-1,191,000","1,146,960","2,893,572"
6月22日,158.48,236.11,0,"381,436","1,886,436","-1,505,000","1,108,800","2,995,236"
6月23日,158.29,234.583,1.1,"556,572","1,741,572","-1,185,000","1,052,280","2,793,852"
6月24日,158.15,233.448,2.4,"538,508","1,877,508","-1,339,000","1,068,840","2,946,348"
6月25日,157.97,232.08,0.1,"351,144","1,764,144","-1,413,000","1,215,000","2,979,144"
6月26日,157.81,230.815,18.7,"668,616","1,607,616","-939,000","1,395,720","3,003,336"
6月27日,157.69,229.886,0,"590,636","1,605,636","-1,015,000","1,404,720","3,010,356"
6月28日,157.54,228.728,1.4,"365,064","1,610,064","-1,245,000","1,297,440","2,907,504"
6月29日,157.4,227.615,12.2,"682,024","1,614,024","-932,000","1,313,280","2,927,304"
6月30日,157.28,226.687,6.8,"595,768","1,680,768","-1,085,000","1,196,640","2,877,408"
7月1日,157.19,226.067,41.6,"2,236,832","1,616,832","620,000","1,135,440","2,752,272"
7月2日,157.3,226.871,29.2,"2,234,636","1,614,636","620,000","1,652,040","3,266,676"
7月3日,157.4,227.667,0.4,"1,923,268","1,613,268","310,000","2,329,920","3,943,188"
7月4日,157.38,227.45,3.8,"1,226,168","1,614,168","-388,000","1,702,080","3,316,248"
7月5日,157.3,226.865,6.9,"919,544","1,616,544","-697,000","1,742,760","3,359,304"
7月6日,157.21,226.144,1,"919,868","1,616,868","-697,000","1,585,440","3,202,308"
7月7日,157.13,225.522,5.2,"1,000,200","1,618,200","-618,000","1,482,480","3,100,680"
7月8日,157.04,224.852,7,"847,884","1,618,884","-771,000","1,866,600","3,485,484"
7月9日,156.96,212.908,0.1,"1,081,928","1,619,928","-538,000","1,874,880","3,494,808"
7月10日,156.87,223.485,0.4,"701,700","1,622,700","-921,000","1,491,840","3,114,540"
7月11日,156.75,222.59,0.9,"630,536","1,624,536","-994,000","1,474,560","3,099,096"
7月12日,156.61,221.528,0.1,"555,824","1,624,824","-1,069,000","1,399,320","3,024,144"
7月13日,156.47,220.445,0,"487,316","1,628,316","-1,141,000","1,278,720","2,907,036"
7月14日,156.31,219.269,0,"507,500","1,795,500","-1,288,000","1,149,840","2,945,340"
7月15日,156.14,217.981,11.1,"664,300","1,797,300","-1,133,000","1,223,280","3,020,580"
7月16日,155.99,216.848,4.8,"595,208","1,799,208","-1,204,000","1,550,880","3,350,088"
7月17日,155.84,215.679,13.3,"590,904","1,715,904","-1,125,000","1,473,120","3,189,024"
7月18日,155.7,214.654,1.8,"743,016","1,640,016","-897,000","1,262,880","2,902,896"
